ID,Last Name,First Name ,RIF?,Legacy,Group #,SF,LC,PS,I,PIG 1,PIG 2,Total,Notes (Rifs # and interests)
,Campbell,Gracie,Yes,,6,,,1,1,,2,4,
,Cantrell,Kaila,Yes,,7,,,2,1,,0,3,
,Caples,Courtney,Yes,,8,,1,1,2,,0,4,
,Capocaccia,Kelsey,,,9,,,1,,,2,3,
,Capponi,Maragaret Ann,,XO(in house),10,,,0,,,1,1,
,Capshaw,Elizabeth,Yes,,11,,1,1,2,,0,4,
,Caraway,Gretchen,Yes,,12,,,1,2,,1,4,
,Carbon,Kaci,Yes,,1,,1,1,,,1,3,
,Carillo,Kristin,,,2,,1,1,,,0,2,
,Carpenter,Libby,,,3,,,1,,,1,2,
,Carpenter,Meg,,OM,4,,,1,,,0,1,
,Carrasco,Grace,Yes,,5,,,1,1,,2,4,
,Carriere,Mia,,XO,6,,,1,,,0,1,
,Carrington,Carly,Yes,,7,,2,1,2,,0,5,
,Carter,Ally,Yes,,8,,1,1,2,,2,6,
,Carter,Scout,,"DDD(2), OM",9,,,0,,,0,0,
,Case,Reade,,KD,10,,,1,,,,1,
,Cato,Molly,,"KKG(2)(in house), AOP",11,,,1,,,0,1,
,Caton,Courtney,Yes,,12,,1,1,,,2,4,
,Cauley,Ryan,,AST,1,,,0,,,0,0,
,Causey,Carly,Yes,,2,,1,2,2,,0,5,
,Cavanaugh,Madeline Grace,,,3,,,1,,,0,1,
,Caviness,Bridget,Yes,,4,,1,2,1,,1,5,
,Chadwick,Maddie,,,5,,,1,,,1,2,
,Chafer,Sydni,,KAT,6,,,,,,,0,
,Chain,Morgan,,OM,7,,,0,,,1,1,
,Chambers,Carly,Yes,,8,,1,1,2,,1,5,
,Chance,Landry,,,9,,,1,,,1,2,
,Chandler,Jordan,Yes,,10,,,1,1,,1,3,
,Chapman,Julia,Yes,,11,,,1,,,2,3,
,Charney,Ally,Yes,,12,,,2,2,,2,6,
,Chase,Ally,Yes,,1,2,1,1,2,,0,6,
,Chatakondi,Abby,,,2,,,0,,,0,0,
,Chatman,Ally,Yes,,3,,1,1,2,,2,6,
,Chauvin,Avery,Yes,,4,,1,1,2,,1,5,
,Chick,Skylar,,DG,5,,,0,,,0,0,
,Childers,Allison,Yes,,6,,1,1,2,,2,6,
,Chrisman,Brooke,Yes,,7,,,2,1,,2,5,
,Christodoulelis,Fallon,Yes,,8,,1,1,2,,0,4,
,Ciallela,Ellie,Yes,,9,,1,1,1,,1,4,
,Ciotoli,Abby,Yes,,10,2,1,2,2,,2,9,
,Clancy,Abby,Yes,,11,,2,3,2,,2,9,
,Clancy,Abby,Yes,,12,,2,3,2,,2,9,
,Clark,Addy,Yes,,1,2,1,1,2,,1,7,
,Clay,Adelaide,Yes,,2,1,2,1,2,,1,7,
,Clay,Adriana C.,Yes,,3,2,,1,2,,2,7,
,Clayton,Alex,Yes,,4,,1,2,2,,2,7,
,Cleary,Alex,Yes,,5,,1,2,2,,2,7,
,Cleveland,Alessia,Yes,,6,,1,2,2,,2,7,
,Click,Allison,Yes,,7,,1,1,2,,2,6,
,Climer,Amanda,Yes,,8,,,2,2,,2,6,
,Climer,Alyssa,Yes,,9,,1,2,2,,1,6,
,Cline,Alston,Yes,,10,,2,1,2,,1,6,
,Cloven,Allyn,Yes,,11,0,1,2,1,,2,6,
,Clyde,Allyn,Yes,,12,,1,2,2,,1,6,
,Coale,Ally,Yes,,1,,1,3,2,,0,6,
,Cochran,Amber,Yes,,2,2,2,1,1,,0,6,
,Cockayne,Amanda,Yes,,3,,1,1,2,,2,6,
,Coker,Amanda,Yes,,4,,1,2,2,,1,6,
,Coleman,Amanda,Yes,,5,,1,1,2,,2,6,
,Coleman,Alyssa,Yes,,6,,1,2,2,,1,6,
,Colleran,Alyssa,Yes,,7,,2,1,2,,1,6,
,Colquett,Amelia,Yes,,8,2,,1,2,,1,6,
,Colquett,Avery,Yes,,9,,1,1,2,,1,5,
,Connell,Bailee,Yes,,10,,1,2,2,,0,5,
,Conwell,Avery R.,Yes,,11,,,2,1,,2,5,
,Cook,Avril R.,Yes,,12,,1,1,2,,1,5,
,Cook,Avery Claire,Yes,,1,,1,2,1,,1,5,
,Cook,Brianna,Yes,,2,,1,2,1,,1,5,
,Cook,Bri,Yes,,3,,2,1,1,,1,5,
,Cook,Brett Adair,Yes,,4,,1,1,2,,1,5,
,Cooley,Brennan,Yes,,5,,1,1,2,,1,5,
,Cooley,Brooke,Yes,,6,,1,1,2,,1,5,
,Cooper,Brooke,Yes,,7,,1,1,1,,2,5,
,Cooper,Camryn,Yes,,8,,1,1,2,,1,5,
